,datetime,o,h,l,c,time,date
0,2021/1/4 09:00,14720.25,14753.73,14720.25,14752.56,09:00:00,2021/1/4
30,2021/1/4 09:30,14755.14,14768.14,14755.14,14756.8,09:30:00,2021/1/4
60,2021/1/4 10:00,14789.43,14801.95,14789.43,14801.19,10:00:00,2021/1/4
90,2021/1/4 10:30,14853.4,14857.17,14842.27,14845.29,10:30:00,2021/1/4
120,2021/1/4 11:00,14855.35,14858.74,14846.59,14855.55,11:00:00,2021/1/4
150,2021/1/4 11:30,14912.12,14913.09,14901.85,14910.12,11:30:00,2021/1/4
180,2021/1/4 12:00,14909.95,14909.95,14890.23,14890.23,12:00:00,2021/1/4
210,2021/1/4 12:30,14920.86,14925.74,14918.1,14920.15,12:30:00,2021/1/4
240,2021/1/4 13:00,14908.64,14919.09,14907.97,14908.3,13:00:00,2021/1/4
270,2021/1/4 13:30,14902.03,14902.03,14902.03,14902.03,13:30:00,2021/1/4
1440,2021/1/5 09:00,14913.64,14933.08,14913.64,14921.89,09:00:00,2021/1/5
1470,2021/1/5 09:30,14917.96,14917.96,14907.96,14907.96,09:30:00,2021/1/5
1500,2021/1/5 10:00,14918.32,14920.34,14910.57,14911,10:00:00,2021/1/5
1530,2021/1/5 10:30,14942.03,14945.17,14932.9,14942.92,10:30:00,2021/1/5
1560,2021/1/5 11:00,14950.19,14958.28,14948.14,14948.86,11:00:00,2021/1/5
1590,2021/1/5 11:30,14968.23,14969.47,14964.12,14967.34,11:30:00,2021/1/5
1620,2021/1/5 12:00,14955.73,14964.57,14953.65,14953.65,12:00:00,2021/1/5
1650,2021/1/5 12:30,14928.63,14930.61,14921.06,14929.95,12:30:00,2021/1/5
1680,2021/1/5 13:00,14926.94,14930.55,14917.64,14930.55,13:00:00,2021/1/5
1710,2021/1/5 13:30,15000.03,15000.03,15000.03,15000.03,13:30:00,2021/1/5
2880,2021/1/6 09:00,15145.85,15159.05,15119.91,15153.61,09:00:00,2021/1/6
2910,2021/1/6 09:30,15135.25,15139.15,15120.57,15120.78,09:30:00,2021/1/6
2940,2021/1/6 10:00,15096.51,15101.05,15089.49,15097.16,10:00:00,2021/1/6
2970,2021/1/6 10:30,15126.02,15130.42,15122.12,15127.12,10:30:00,2021/1/6
3000,2021/1/6 11:00,15074.65,15086.4,15069.09,15078.43,11:00:00,2021/1/6
3030,2021/1/6 11:30,14980.3,14990.44,14969.73,14969.73,11:30:00,2021/1/6
3060,2021/1/6 12:00,14893.48,14900.83,14890.35,14890.35,12:00:00,2021/1/6
3090,2021/1/6 12:30,14990.32,14990.82,14978.99,14987.98,12:30:00,2021/1/6
3120,2021/1/6 13:00,15002.63,15002.63,14986.32,14986.32,13:00:00,2021/1/6
3150,2021/1/6 13:30,14983.13,14983.13,14983.13,14983.13,13:30:00,2021/1/6
4320,2021/1/7 09:00,15059.52,15120.33,15059.52,15119.95,09:00:00,2021/1/7
4350,2021/1/7 09:30,15083.71,15089.73,15073.72,15081.84,09:30:00,2021/1/7
4380,2021/1/7 10:00,15103.66,15107.56,15095.85,15096,10:00:00,2021/1/7
4410,2021/1/7 10:30,15111.39,15124.06,15111.39,15122.14,10:30:00,2021/1/7
4440,2021/1/7 11:00,15169.26,15171.91,15159.82,15163.29,11:00:00,2021/1/7
4470,2021/1/7 11:30,15215.5,15236.96,15213.46,15234.17,11:30:00,2021/1/7
4500,2021/1/7 12:00,15191.79,15202.27,15189.59,15191.16,12:00:00,2021/1/7
4530,2021/1/7 12:30,15214.56,15215.32,15205.13,15215.32,12:30:00,2021/1/7
4560,2021/1/7 13:00,15233.51,15233.51,15220.2,15221.77,13:00:00,2021/1/7
4590,2021/1/7 13:30,15214,15214,15214,15214,13:30:00,2021/1/7
5760,2021/1/8 09:00,15365.13,15400.77,15365.13,15399.54,09:00:00,2021/1/8
5790,2021/1/8 09:30,15389.06,15392.1,15383.5,15391.3,09:30:00,2021/1/8
5820,2021/1/8 10:00,15309.28,15318.11,15302.59,15302.59,10:00:00,2021/1/8
5850,2021/1/8 10:30,15351.06,15353.65,15351.06,15353.65,10:30:00,2021/1/8
5880,2021/1/8 11:00,15326.29,15336.31,15324.93,15326.06,11:00:00,2021/1/8
5910,2021/1/8 11:30,15372.3,15372.96,15362.82,15372.96,11:30:00,2021/1/8
5940,2021/1/8 12:00,15403.94,15420.04,15402.33,15417.37,12:00:00,2021/1/8
5970,2021/1/8 12:30,15376.11,15385.6,15372.26,15374.35,12:30:00,2021/1/8
6000,2021/1/8 13:00,15412.15,15420.46,15405.51,15415.62,13:00:00,2021/1/8
6030,2021/1/8 13:30,15463.95,15463.95,15463.95,15463.95,13:30:00,2021/1/8
10080,2021/1/11 09:00,15425.58,15435.98,15417.52,15420.95,09:00:00,2021/1/11
10110,2021/1/11 09:30,15517.44,15517.44,15505.19,15515.6,09:30:00,2021/1/11
10140,2021/1/11 10:00,15453.98,15457.11,15445.96,15446.03,10:00:00,2021/1/11
10170,2021/1/11 10:30,15448.32,15452.44,15440.65,15449.66,10:30:00,2021/1/11
10200,2021/1/11 11:00,15445.22,15459.6,15445.22,15455.65,11:00:00,2021/1/11
10230,2021/1/11 11:30,15446.93,15454.7,15444.13,15445.58,11:30:00,2021/1/11
10260,2021/1/11 12:00,15441.48,15443.76,15441.28,15443.56,12:00:00,2021/1/11
10290,2021/1/11 12:30,15425.9,15425.9,15422.44,15422.44,12:30:00,2021/1/11
10320,2021/1/11 13:00,15458.36,15461.99,15450.57,15451.52,13:00:00,2021/1/11
10350,2021/1/11 13:30,15557.3,15557.3,15557.3,15557.3,13:30:00,2021/1/11
11520,2021/1/12 09:00,15549.53,15553.02,15546.27,15550.52,09:00:00,2021/1/12
11550,2021/1/12 09:30,15478.25,15489.34,15477.54,15488.27,09:30:00,2021/1/12
11580,2021/1/12 10:00,15543.37,15555.26,15543.12,15545.75,10:00:00,2021/1/12
11610,2021/1/12 10:30,15575.72,15586.86,15574.07,15586.86,10:30:00,2021/1/12
11640,2021/1/12 11:00,15574.68,15579.62,15566.54,15567.16,11:00:00,2021/1/12
11670,2021/1/12 11:30,15502.57,15502.57,15491.61,15491.72,11:30:00,2021/1/12
11700,2021/1/12 12:00,15464.6,15469.89,15455.95,15469.89,12:00:00,2021/1/12
11730,2021/1/12 12:30,15498.28,15498.92,15489.01,15498.8,12:30:00,2021/1/12
11760,2021/1/12 13:00,15453.11,15462.42,15449.82,15452.88,13:00:00,2021/1/12
11790,2021/1/12 13:30,15500.7,15500.7,15500.7,15500.7,13:30:00,2021/1/12
12960,2021/1/13 09:00,15550.16,15613.22,15550.16,15604.75,09:00:00,2021/1/13
12990,2021/1/13 09:30,15627.52,15638.81,15624.66,15635.52,09:30:00,2021/1/13
13020,2021/1/13 10:00,15657.62,15667.53,15657.62,15663.78,10:00:00,2021/1/13
13050,2021/1/13 10:30,15721.7,15724.04,15709.3,15721.51,10:30:00,2021/1/13
13080,2021/1/13 11:00,15708.59,15709.28,15698.52,15707.62,11:00:00,2021/1/13
13110,2021/1/13 11:30,15735.02,15737.26,15726.96,15726.96,11:30:00,2021/1/13
13140,2021/1/13 12:00,15736.02,15740.14,15728.31,15731.28,12:00:00,2021/1/13
13170,2021/1/13 12:30,15730.49,15732.97,15719.82,15719.82,12:30:00,2021/1/13
13200,2021/1/13 13:00,15731.47,15746.88,15731.47,15745.38,13:00:00,2021/1/13
13230,2021/1/13 13:30,15769.98,15769.98,15769.98,15769.98,13:30:00,2021/1/13
14400,2021/1/14 09:00,15651.2,15682.87,15651.2,15673.23,09:00:00,2021/1/14
14430,2021/1/14 09:30,15677.87,15688.73,15676.82,15679.3,09:30:00,2021/1/14
14460,2021/1/14 10:00,15678.29,15692.35,15678.29,15690.73,10:00:00,2021/1/14
14490,2021/1/14 10:30,15694.02,15704.49,15692.5,15699.01,10:30:00,2021/1/14
14520,2021/1/14 11:00,15711.96,15726.01,15711.96,15716.31,11:00:00,2021/1/14
14550,2021/1/14 11:30,15708.43,15710.83,15698.91,15709.13,11:30:00,2021/1/14
14580,2021/1/14 12:00,15726.19,15736.34,15725.14,15728.79,12:00:00,2021/1/14
14610,2021/1/14 12:30,15733.09,15737.33,15726.34,15726.99,12:30:00,2021/1/14
14640,2021/1/14 13:00,15728.85,15729.63,15718.31,15720.72,13:00:00,2021/1/14
14670,2021/1/14 13:30,15707.19,15707.19,15707.19,15707.19,13:30:00,2021/1/14
15840,2021/1/15 09:00,15987.16,16041.59,15987.16,16027.38,09:00:00,2021/1/15
15870,2021/1/15 09:30,15872.64,15876.14,15864.11,15870.64,09:30:00,2021/1/15
15900,2021/1/15 10:00,15791.22,15797.13,15788.47,15795,10:00:00,2021/1/15
15930,2021/1/15 10:30,15851.66,15851.66,15835.1,15835.1,10:30:00,2021/1/15
15960,2021/1/15 11:00,15868.16,15868.67,15857.63,15867.81,11:00:00,2021/1/15
15990,2021/1/15 11:30,15846.75,15855.41,15845.18,15854.23,11:30:00,2021/1/15
16020,2021/1/15 12:00,15750.3,15758.2,15748.11,15757.11,12:00:00,2021/1/15
16050,2021/1/15 12:30,15623.46,15644.73,15623.46,15644.73,12:30:00,2021/1/15
16080,2021/1/15 13:00,15680.41,15682.93,15670.44,15671.94,13:00:00,2021/1/15
16110,2021/1/15 13:30,15616.39,15616.39,15616.39,15616.39,13:30:00,2021/1/15
20160,2021/1/18 09:00,15676.45,15676.45,15639.89,15645.11,09:00:00,2021/1/18
20190,2021/1/18 09:30,15442.2,15461.53,15442.2,15461.53,09:30:00,2021/1/18
20220,2021/1/18 10:00,15538.46,15544.08,15535.49,15543.36,10:00:00,2021/1/18
20250,2021/1/18 10:30,15478.61,15487.03,15478.61,15485.55,10:30:00,2021/1/18
20280,2021/1/18 11:00,15542.57,15545.36,15535.48,15544.19,11:00:00,2021/1/18
20310,2021/1/18 11:30,15553.25,15567.11,15553.25,15566.21,11:30:00,2021/1/18
20340,2021/1/18 12:00,15546.54,15555.79,15542.96,15547.13,12:00:00,2021/1/18
20370,2021/1/18 12:30,15524.14,15525.42,15521.82,15523.51,12:30:00,2021/1/18
20400,2021/1/18 13:00,15579.42,15589.45,15577.69,15589.16,13:00:00,2021/1/18
20430,2021/1/18 13:30,15612,15612,15612,15612,13:30:00,2021/1/18
21600,2021/1/19 09:00,15716.64,15748.39,15716.64,15738.64,09:00:00,2021/1/19
21630,2021/1/19 09:30,15741.76,15761.43,15741.76,15759.61,09:30:00,2021/1/19
