,datetime,o,h,l,c,time,date
0,2021-01-04 09:00:00,14720.25,14803.3,14720.25,14798.1,09:00:00,2021-01-04
1,2021-01-04 10:00:00,14789.43,14867.3,14789.43,14857.13,10:00:00,2021-01-04
2,2021-01-04 11:00:00,14855.35,14928.81,14841.82,14898.93,11:00:00,2021-01-04
3,2021-01-04 12:00:00,14909.95,14936.7,14889.93,14909.15,12:00:00,2021-01-04
4,2021-01-04 13:00:00,14908.64,14937.13,14902.03,14902.03,13:00:00,2021-01-04
24,2021-01-05 09:00:00,14913.64,14974.04,14861.99,14918.99,09:00:00,2021-01-05
25,2021-01-05 10:00:00,14918.32,14966.73,14910.57,14957.14,10:00:00,2021-01-05
26,2021-01-05 11:00:00,14950.19,14977.64,14932.0,14961.9,11:00:00,2021-01-05
27,2021-01-05 12:00:00,14955.73,14965.22,14904.97,14928.95,12:00:00,2021-01-05
28,2021-01-05 13:00:00,14926.94,15000.03,14917.64,15000.03,13:00:00,2021-01-05
48,2021-01-06 09:00:00,15145.85,15197.68,15021.65,15095.45,09:00:00,2021-01-06
49,2021-01-06 10:00:00,15096.51,15141.81,15072.15,15072.31,10:00:00,2021-01-06
50,2021-01-06 11:00:00,15074.65,15086.4,14893.84,14903.05,11:00:00,2021-01-06
51,2021-01-06 12:00:00,14893.48,15018.5,14837.0,15002.76,12:00:00,2021-01-06
52,2021-01-06 13:00:00,15002.63,15002.63,14900.95,14983.13,13:00:00,2021-01-06
72,2021-01-07 09:00:00,15059.52,15143.19,15049.86,15101.41,09:00:00,2021-01-07
73,2021-01-07 10:00:00,15103.66,15169.82,15092.52,15160.01,10:00:00,2021-01-07
74,2021-01-07 11:00:00,15169.26,15252.81,15146.99,15193.25,11:00:00,2021-01-07
75,2021-01-07 12:00:00,15191.79,15244.57,15169.87,15224.02,12:00:00,2021-01-07
76,2021-01-07 13:00:00,15233.51,15270.4,15214.0,15214.0,13:00:00,2021-01-07
96,2021-01-08 09:00:00,15365.13,15400.77,15283.71,15309.62,09:00:00,2021-01-08
97,2021-01-08 10:00:00,15309.28,15367.47,15275.38,15328.08,10:00:00,2021-01-08
98,2021-01-08 11:00:00,15326.29,15420.41,15303.24,15415.08,11:00:00,2021-01-08
99,2021-01-08 12:00:00,15403.94,15435.32,15355.69,15413.56,12:00:00,2021-01-08
100,2021-01-08 13:00:00,15412.15,15463.95,15405.51,15463.95,13:00:00,2021-01-08
168,2021-01-11 09:00:00,15425.58,15518.77,15417.52,15455.54,09:00:00,2021-01-11
169,2021-01-11 10:00:00,15453.98,15467.77,15395.73,15446.82,10:00:00,2021-01-11
170,2021-01-11 11:00:00,15445.22,15476.44,15432.53,15449.43,11:00:00,2021-01-11
171,2021-01-11 12:00:00,15441.48,15467.62,15409.48,15457.83,12:00:00,2021-01-11
172,2021-01-11 13:00:00,15458.36,15557.3,15450.57,15557.3,13:00:00,2021-01-11
192,2021-01-12 09:00:00,15549.53,15642.03,15466.95,15542.8,09:00:00,2021-01-12
193,2021-01-12 10:00:00,15543.37,15617.75,15528.73,15576.16,10:00:00,2021-01-12
194,2021-01-12 11:00:00,15574.68,15579.62,15421.23,15464.68,11:00:00,2021-01-12
195,2021-01-12 12:00:00,15464.6,15514.48,15449.49,15463.97,12:00:00,2021-01-12
196,2021-01-12 13:00:00,15453.11,15500.7,15434.11,15500.7,13:00:00,2021-01-12
216,2021-01-13 09:00:00,15550.16,15680.86,15550.16,15666.94,09:00:00,2021-01-13
217,2021-01-13 10:00:00,15657.62,15727.54,15636.35,15703.53,10:00:00,2021-01-13
218,2021-01-13 11:00:00,15708.59,15759.42,15696.52,15736.49,11:00:00,2021-01-13
219,2021-01-13 12:00:00,15736.02,15745.46,15704.61,15736.48,12:00:00,2021-01-13
220,2021-01-13 13:00:00,15731.47,15778.52,15731.47,15769.98,13:00:00,2021-01-13
240,2021-01-14 09:00:00,15651.2,15760.15,15620.96,15687.35,09:00:00,2021-01-14
241,2021-01-14 10:00:00,15678.29,15723.05,15671.28,15713.22,10:00:00,2021-01-14
242,2021-01-14 11:00:00,15711.96,15737.96,15692.83,15726.32,11:00:00,2021-01-14
243,2021-01-14 12:00:00,15726.19,15749.55,15717.63,15728.95,12:00:00,2021-01-14
244,2021-01-14 13:00:00,15728.85,15730.68,15693.7,15707.19,13:00:00,2021-01-14
264,2021-01-15 09:00:00,15987.16,16041.59,15765.67,15791.21,09:00:00,2021-01-15
265,2021-01-15 10:00:00,15791.22,15869.01,15786.64,15868.74,10:00:00,2021-01-15
266,2021-01-15 11:00:00,15868.16,15881.28,15750.66,15750.66,11:00:00,2021-01-15
267,2021-01-15 12:00:00,15750.3,15758.2,15615.11,15680.43,12:00:00,2021-01-15
268,2021-01-15 13:00:00,15680.41,15682.93,15616.39,15616.39,13:00:00,2021-01-15
336,2021-01-18 09:00:00,15676.45,15676.45,15320.97,15538.33,09:00:00,2021-01-18
337,2021-01-18 10:00:00,15538.46,15552.08,15469.75,15545.64,10:00:00,2021-01-18
338,2021-01-18 11:00:00,15542.57,15608.66,15534.47,15545.03,11:00:00,2021-01-18
339,2021-01-18 12:00:00,15546.54,15580.98,15510.67,15580.92,12:00:00,2021-01-18
340,2021-01-18 13:00:00,15579.42,15612.0,15561.08,15612.0,13:00:00,2021-01-18
360,2021-01-19 09:00:00,15716.64,15805.74,15716.64,15785.91,09:00:00,2021-01-19
361,2021-01-19 10:00:00,15793.78,15819.9,15762.38,15793.6,10:00:00,2021-01-19
362,2021-01-19 11:00:00,15784.87,15853.79,15784.87,15842.22,11:00:00,2021-01-19
363,2021-01-19 12:00:00,15840.1,15916.7,15826.7,15906.74,12:00:00,2021-01-19
364,2021-01-19 13:00:00,15898.67,15928.14,15877.37,15877.37,13:00:00,2021-01-19
384,2021-01-20 09:00:00,15934.85,16004.32,15825.55,15915.03,09:00:00,2021-01-20
385,2021-01-20 10:00:00,15904.15,15959.2,15818.46,15852.16,10:00:00,2021-01-20
386,2021-01-20 11:00:00,15851.25,15872.85,15759.48,15864.13,11:00:00,2021-01-20
387,2021-01-20 12:00:00,15862.45,15889.35,15802.62,15810.0,12:00:00,2021-01-20
388,2021-01-20 13:00:00,15810.29,15810.29,15745.48,15806.18,13:00:00,2021-01-20
408,2021-01-21 09:00:00,15775.73,16058.21,15775.73,16017.28,09:00:00,2021-01-21
409,2021-01-21 10:00:00,16025.79,16142.81,16011.58,16142.81,10:00:00,2021-01-21
410,2021-01-21 11:00:00,16139.66,16238.46,16024.29,16124.05,11:00:00,2021-01-21
411,2021-01-21 12:00:00,16123.56,16213.78,16084.27,16178.44,12:00:00,2021-01-21
412,2021-01-21 13:00:00,16187.54,16218.42,16153.77,16153.77,13:00:00,2021-01-21
432,2021-01-22 09:00:00,15984.89,16138.04,15984.89,16103.95,09:00:00,2021-01-22
433,2021-01-22 10:00:00,16102.67,16119.96,16054.31,16088.7,10:00:00,2021-01-22
434,2021-01-22 11:00:00,16090.34,16098.12,15973.02,15994.49,11:00:00,2021-01-22
435,2021-01-22 12:00:00,15994.71,16086.22,15985.22,16070.43,12:00:00,2021-01-22
436,2021-01-22 13:00:00,16077.43,16084.1,16019.03,16019.03,13:00:00,2021-01-22
504,2021-01-25 09:00:00,16006.21,16014.96,15772.63,15801.76,09:00:00,2021-01-25
505,2021-01-25 10:00:00,15803.77,15940.84,15793.67,15901.43,10:00:00,2021-01-25
506,2021-01-25 11:00:00,15911.84,15913.95,15872.45,15889.29,11:00:00,2021-01-25
507,2021-01-25 12:00:00,15894.72,15957.68,15888.83,15925.91,12:00:00,2021-01-25
508,2021-01-25 13:00:00,15926.44,15962.95,15904.18,15946.54,13:00:00,2021-01-25
528,2021-01-26 09:00:00,15955.16,16023.87,15916.53,15947.48,09:00:00,2021-01-26
529,2021-01-26 10:00:00,15947.09,15950.47,15749.83,15750.51,10:00:00,2021-01-26
530,2021-01-26 11:00:00,15749.07,15790.14,15687.73,15731.04,11:00:00,2021-01-26
531,2021-01-26 12:00:00,15728.28,15768.6,15606.39,15607.79,12:00:00,2021-01-26
532,2021-01-26 13:00:00,15606.46,15685.89,15589.21,15658.85,13:00:00,2021-01-26
552,2021-01-27 09:00:00,15711.76,15837.47,15684.35,15789.6,09:00:00,2021-01-27
553,2021-01-27 10:00:00,15789.34,15801.09,15662.45,15662.59,10:00:00,2021-01-27
554,2021-01-27 11:00:00,15661.92,15716.55,15642.12,15669.92,11:00:00,2021-01-27
555,2021-01-27 12:00:00,15670.73,15742.13,15652.02,15738.76,12:00:00,2021-01-27
556,2021-01-27 13:00:00,15733.45,15765.89,15701.45,15701.45,13:00:00,2021-01-27
576,2021-01-28 09:00:00,15519.85,15557.02,15377.42,15486.0,09:00:00,2021-01-28
577,2021-01-28 10:00:00,15493.13,15511.54,15385.03,15424.83,10:00:00,2021-01-28
578,2021-01-28 11:00:00,15426.2,15445.29,15367.45,15373.47,11:00:00,2021-01-28
579,2021-01-28 12:00:00,15373.38,15440.7,15373.38,15405.31,12:00:00,2021-01-28
580,2021-01-28 13:00:00,15406.77,15424.97,15386.94,15415.88,13:00:00,2021-01-28
600,2021-01-29 09:00:00,15544.36,15603.41,15479.57,15491.46,09:00:00,2021-01-29
601,2021-01-29 10:00:00,15489.56,15492.45,15375.79,15440.09,10:00:00,2021-01-29
602,2021-01-29 11:00:00,15443.04,15456.64,15326.21,15360.02,11:00:00,2021-01-29
603,2021-01-29 12:00:00,15358.28,15362.68,15291.26,15301.71,12:00:00,2021-01-29
604,2021-01-29 13:00:00,15291.08,15302.14,15138.31,15138.31,13:00:00,2021-01-29
672,2021-02-01 09:00:00,15176.56,15250.98,15089.96,15197.02,09:00:00,2021-02-01
673,2021-02-01 10:00:00,15194.82,15276.2,15178.05,15244.35,10:00:00,2021-02-01
674,2021-02-01 11:00:00,15237.46,15359.09,15237.46,15345.64,11:00:00,2021-02-01
675,2021-02-01 12:00:00,15345.03,15397.08,15332.85,15379.52,12:00:00,2021-02-01
676,2021-02-01 13:00:00,15383.34,15429.98,15367.01,15410.09,13:00:00,2021-02-01
696,2021-02-02 09:00:00,15546.69,15782.42,15546.69,15759.67,09:00:00,2021-02-02
697,2021-02-02 10:00:00,15761.1,15794.1,15714.95,15773.61,10:00:00,2021-02-02
698,2021-02-02 11:00:00,15773.6,15838.15,15762.08,15814.48,11:00:00,2021-02-02
