,datetime,o,h,l,c,time,date
362,2018-01-17 11:00:00,10994.97,10996.71,10968.6,10974.58,11:00:00,2018-01-17
363,2018-01-17 12:00:00,10974.14,11008.9,10964.9,11006.54,12:00:00,2018-01-17
364,2018-01-17 13:00:00,11009.94,11030.22,11004.8,11004.8,13:00:00,2018-01-17
384,2018-01-18 09:00:00,11048.06,11100.45,11048.06,11077.02,09:00:00,2018-01-18
385,2018-01-18 10:00:00,11075.5,11103.49,11066.02,11101.34,10:00:00,2018-01-18
386,2018-01-18 11:00:00,11105.1,11122.82,11093.29,11112.54,11:00:00,2018-01-18
387,2018-01-18 12:00:00,11111.68,11122.52,11097.98,11102.52,12:00:00,2018-01-18
388,2018-01-18 13:00:00,11102.08,11108.17,11071.57,11071.57,13:00:00,2018-01-18
408,2018-01-19 09:00:00,11123.58,11132.51,11095.85,11115.44,09:00:00,2018-01-19
409,2018-01-19 10:00:00,11115.18,11132.03,11107.98,11132.03,10:00:00,2018-01-19
410,2018-01-19 11:00:00,11131.43,11136.06,11119.78,11126.07,11:00:00,2018-01-19
411,2018-01-19 12:00:00,11126.3,11129.08,11114.12,11119.12,12:00:00,2018-01-19
412,2018-01-19 13:00:00,11123.58,11150.85,11113.79,11150.85,13:00:00,2018-01-19
480,2018-01-22 09:00:00,11169.79,11175.78,11142.38,11160.13,09:00:00,2018-01-22
481,2018-01-22 10:00:00,11161.14,11199.3,11158.01,11188.43,10:00:00,2018-01-22
482,2018-01-22 11:00:00,11188.55,11203.3,11168.11,11193.74,11:00:00,2018-01-22
483,2018-01-22 12:00:00,11194.7,11220.8,11190.75,11217.91,12:00:00,2018-01-22
484,2018-01-22 13:00:00,11214.47,11231.46,11203.64,11231.46,13:00:00,2018-01-22
504,2018-01-23 09:00:00,11243.49,11267.57,11219.57,11263.61,09:00:00,2018-01-23
505,2018-01-23 10:00:00,11264.71,11270.18,11201.52,11222.29,10:00:00,2018-01-23
506,2018-01-23 11:00:00,11227.25,11247.4,11221.84,11241.01,11:00:00,2018-01-23
507,2018-01-23 12:00:00,11237.02,11248.27,11222.38,11239.5,12:00:00,2018-01-23
508,2018-01-23 13:00:00,11239.53,11253.11,11220.24,11253.11,13:00:00,2018-01-23
528,2018-01-24 09:00:00,11228.71,11228.71,11138.62,11147.53,09:00:00,2018-01-24
529,2018-01-24 10:00:00,11148.66,11159.07,11107.32,11131.35,10:00:00,2018-01-24
530,2018-01-24 11:00:00,11124.12,11160.07,11115.29,11145.99,11:00:00,2018-01-24
531,2018-01-24 12:00:00,11146.49,11151.16,11118.31,11131.02,12:00:00,2018-01-24
532,2018-01-24 13:00:00,11131.22,11152.16,11119.73,11152.16,13:00:00,2018-01-24
552,2018-01-25 09:00:00,11154.36,11268.61,11137.73,11224.53,09:00:00,2018-01-25
553,2018-01-25 10:00:00,11224.82,11226.05,11156.06,11180.2,10:00:00,2018-01-25
554,2018-01-25 11:00:00,11178.88,11216.15,11173.42,11195.66,11:00:00,2018-01-25
555,2018-01-25 12:00:00,11191.13,11195.71,11131.85,11142.32,12:00:00,2018-01-25
556,2018-01-25 13:00:00,11142.59,11165.95,11136.82,11165.95,13:00:00,2018-01-25
576,2018-01-26 09:00:00,11152.53,11158.14,11089.48,11111.85,09:00:00,2018-01-26
577,2018-01-26 10:00:00,11112.72,11141.01,11102.78,11119.0,10:00:00,2018-01-26
578,2018-01-26 11:00:00,11117.55,11131.79,11110.75,11114.19,11:00:00,2018-01-26
579,2018-01-26 12:00:00,11116.45,11161.52,11113.18,11147.71,12:00:00,2018-01-26
580,2018-01-26 13:00:00,11147.69,11178.3,11142.56,11147.1,13:00:00,2018-01-26
984,2018-02-12 09:00:00,10429.09,10469.37,10425.05,10454.29,09:00:00,2018-02-12
985,2018-02-12 10:00:00,10453.83,10459.88,10416.01,10452.47,10:00:00,2018-02-12
986,2018-02-12 11:00:00,10448.27,10473.48,10446.36,10472.6,11:00:00,2018-02-12
