,datetime,o,h,l,c,time,date
0,2018/1/2 09:00,10664.82,10675.38,10664.82,10669.58,09:00:00,2018/1/2
10,2018/1/2 09:10,10660.15,10665.83,10659.42,10664.02,09:10:00,2018/1/2
20,2018/1/2 09:20,10659.23,10660.82,10655.07,10658.7,09:20:00,2018/1/2
30,2018/1/2 09:30,10660.92,10663.23,10655.5,10663.23,09:30:00,2018/1/2
40,2018/1/2 09:40,10674.12,10675.53,10670.71,10675,09:40:00,2018/1/2
50,2018/1/2 09:50,10665.94,10671.36,10665.55,10666.28,09:50:00,2018/1/2
60,2018/1/2 10:00,10662.3,10666.67,10660.76,10661.01,10:00:00,2018/1/2
70,2018/1/2 10:10,10668.28,10668.57,10662.47,10663.82,10:10:00,2018/1/2
80,2018/1/2 10:20,10678.57,10680.64,10673.01,10678.24,10:20:00,2018/1/2
90,2018/1/2 10:30,10678.83,10681.53,10673.42,10673.42,10:30:00,2018/1/2
100,2018/1/2 10:40,10676.46,10679.17,10672.35,10677.51,10:40:00,2018/1/2
110,2018/1/2 10:50,10695.07,10697.98,10689.14,10697.98,10:50:00,2018/1/2
120,2018/1/2 11:00,10692.74,10699.16,10692.74,10698.38,11:00:00,2018/1/2
130,2018/1/2 11:10,10690.05,10693.35,10683.86,10684.02,11:10:00,2018/1/2
140,2018/1/2 11:20,10686.55,10692.31,10684.56,10690.7,11:20:00,2018/1/2
150,2018/1/2 11:30,10690.48,10691.07,10685.29,10689.45,11:30:00,2018/1/2
160,2018/1/2 11:40,10682.95,10691.31,10681.69,10684.07,11:40:00,2018/1/2
170,2018/1/2 11:50,10686.64,10692.83,10685.91,10687.45,11:50:00,2018/1/2
180,2018/1/2 12:00,10685.5,10690.32,10682.86,10684.28,12:00:00,2018/1/2
190,2018/1/2 12:10,10686.59,10689.91,10685.23,10686.8,12:10:00,2018/1/2
200,2018/1/2 12:20,10678.91,10681.86,10676.92,10678.67,12:20:00,2018/1/2
210,2018/1/2 12:30,10678.6,10683.51,10678.52,10680.45,12:30:00,2018/1/2
220,2018/1/2 12:40,10679.95,10682.75,10679.5,10681.8,12:40:00,2018/1/2
230,2018/1/2 12:50,10686.48,10692.9,10685.79,10685.79,12:50:00,2018/1/2
240,2018/1/2 13:00,10684.87,10689.09,10684.87,10685.81,13:00:00,2018/1/2
250,2018/1/2 13:10,10686.38,10693.18,10686.36,10686.65,13:10:00,2018/1/2
260,2018/1/2 13:20,10690.72,10697.29,10689.86,10691.24,13:20:00,2018/1/2
270,2018/1/2 13:30,10710.73,10710.73,10710.73,10710.73,13:30:00,2018/1/2
1440,2018/1/3 09:00,10759.61,10780.9,10759.61,10779.79,09:00:00,2018/1/3
1450,2018/1/3 09:10,10780.56,10782.09,10776.95,10782.09,09:10:00,2018/1/3
