datetime,time,
2021/10/7 09:00,09:00:00,16393.16 
2021/10/7 09:30,09:30:00,16620.99 
2021/10/7 10:00,10:00:00,16703.04 
2021/10/7 10:30,10:30:00,16731.86 
2021/10/7 11:00,11:00:00,16751.47 
2021/10/7 11:30,11:30:00,16750.19 
2021/10/7 12:00,12:00:00,16742.92 
2021/10/7 12:30,12:30:00,16749.26 
2021/10/7 13:00,13:00:00,16739.23 
2021/10/7 13:30,13:30:00,16729.49 
2021/10/8 09:00,09:00:00,16729.58 
2021/10/8 09:30,09:30:00,16773.50 
2021/10/8 10:00,10:00:00,16791.16 
2021/10/8 10:30,10:30:00,16759.71 
2021/10/8 11:00,11:00:00,16746.35 
2021/10/8 11:30,11:30:00,16738.23 
2021/10/8 12:00,12:00:00,16702.24 
2021/10/8 12:30,12:30:00,16694.19 
2021/10/8 13:00,13:00:00,16678.02 
2021/10/8 13:30,13:30:00,16670.64 
2021/10/12 09:00,09:00:00,16670.71 
2021/10/12 09:30,09:30:00,16485.67 
2021/10/12 10:00,10:00:00,16434.31 
2021/10/12 10:30,10:30:00,16473.35 
2021/10/12 11:00,11:00:00,16476.35 
2021/10/12 11:30,11:30:00,16505.61 
2021/10/12 12:00,12:00:00,16466.17 
2021/10/12 12:30,12:30:00,16460.40 
2021/10/12 13:00,13:00:00,16454.00 
2021/10/12 13:30,13:30:00,16482.07 
2021/10/13 09:00,09:00:00,16482.20 
2021/10/13 09:30,09:30:00,16532.77 
2021/10/13 10:00,10:00:00,16501.71 
2021/10/13 10:30,10:30:00,16441.02 
2021/10/13 11:00,11:00:00,16407.22 
2021/10/13 11:30,11:30:00,16421.15 
2021/10/13 12:00,12:00:00,16399.73 
2021/10/13 12:30,12:30:00,16396.15 
2021/10/13 13:00,13:00:00,16393.60 
2021/10/13 13:30,13:30:00,16414.16 
