,datetime,o,h,l,c,time,date
2021/12/1 09:00,09:00:00,17483.56 ,,,,,
2021/12/1 09:30,09:30:00,17472.70 ,,,,,
2021/12/1 10:00,10:00:00,17486.09 ,,,,,
2021/12/1 10:30,10:30:00,17506.76 ,,,,,
2021/12/1 11:00,11:00:00,17534.04 ,,,,,
2021/12/1 11:30,11:30:00,17548.37 ,,,,,
2021/12/1 12:00,12:00:00,17540.69 ,,,,,
2021/12/1 12:30,12:30:00,17575.15 ,,,,,
2021/12/1 13:00,13:00:00,17610.04 ,,,,,
2021/12/1 13:30,13:30:00,17665.99 ,,,,,
