datetime,time,
2022/2/10 09:00,09:00:00,18151.76 
2022/2/10 09:30,09:30:00,18265.53 
2022/2/10 10:00,10:00:00,18233.38 
2022/2/10 10:30,10:30:00,18221.28 
2022/2/10 11:00,11:00:00,18251.79 
2022/2/10 11:30,11:30:00,18284.50 
2022/2/10 12:00,12:00:00,18287.07 
2022/2/10 12:30,12:30:00,18279.66 
2022/2/10 13:00,13:00:00,18302.49 
2022/2/10 13:30,13:30:00,18330.20 
2022/2/11 09:00,09:00:00,18330.41 
2022/2/11 09:30,09:30:00,18290.40 
2022/2/11 10:00,10:00:00,18295.53 
2022/2/11 10:30,10:30:00,18320.81 
2022/2/11 11:00,11:00:00,18322.94 
2022/2/11 11:30,11:30:00,18321.69 
2022/2/11 12:00,12:00:00,18337.87 
2022/2/11 12:30,12:30:00,18345.79 
2022/2/11 13:00,13:00:00,18324.56 
2022/2/11 13:30,13:30:00,18324.51 
2022/2/14 09:00,09:00:00,18324.64 
2022/2/14 09:30,09:30:00,18094.55 
2022/2/14 10:00,10:00:00,18049.20 
2022/2/14 10:30,10:30:00,18034.21 
2022/2/14 11:00,11:00:00,18048.06 
2022/2/14 11:30,11:30:00,18035.09 
2022/2/14 12:00,12:00:00,18032.04 
2022/2/14 12:30,12:30:00,18044.55 
2022/2/14 13:00,13:00:00,18039.34 
2022/2/14 13:30,13:30:00,18048.48 
2022/2/15 09:00,09:00:00,18048.44 
2022/2/15 09:30,09:30:00,18081.79 
2022/2/15 10:00,10:00:00,18091.58 
2022/2/15 10:30,10:30:00,18117.18 
2022/2/15 11:00,11:00:00,18117.83 
2022/2/15 11:30,11:30:00,18120.87 
2022/2/15 12:00,12:00:00,18116.77 
2022/2/15 12:30,12:30:00,18101.05 
2022/2/15 13:00,13:00:00,18061.88 
2022/2/15 13:30,13:30:00,18018.87 
2022/2/16 09:00,09:00:00,18018.72 
2022/2/16 09:30,09:30:00,18242.04 
2022/2/16 10:00,10:00:00,18218.05 
2022/2/16 10:30,10:30:00,18244.73 
2022/2/16 11:00,11:00:00,18259.48 
2022/2/16 11:30,11:30:00,18257.26 
2022/2/16 12:00,12:00:00,18252.72 
2022/2/16 12:30,12:30:00,18233.33 
2022/2/16 13:00,13:00:00,18199.02 
2022/2/16 13:30,13:30:00,18257.45 
