datetime,time,
2022/7/28 09:00,09:00:00,14921.59
2022/7/28 09:30,09:30:00,15021.95228
2022/7/28 10:00,10:00:00,14982.56242
2022/7/28 10:30,10:30:00,14956.05125
2022/7/28 11:00,11:00:00,14967.23777
2022/7/28 11:30,11:30:00,14985.0234
2022/7/28 12:00,12:00:00,14987.3778
2022/7/28 12:30,12:30:00,14986.94777
2022/7/28 13:00,13:00:00,14965.45476
2022/7/28 13:30,13:30:00,14941.52448
2022/7/29 09:00,09:00:00,14941.38382
2022/7/29 09:30,09:30:00,15049.12922
2022/7/29 10:00,10:00:00,15034.7271
2022/7/29 10:30,10:30:00,15051.37331
2022/7/29 11:00,11:00:00,15038.35657
2022/7/29 11:30,11:30:00,15043.50042
2022/7/29 12:00,12:00:00,15011.38808
2022/7/29 12:30,12:30:00,14985.98423
2022/7/29 13:00,13:00:00,15000.5034
2022/7/29 13:30,13:30:00,14996.54588
2022/8/1 09:00,09:00:00,14996.66017
2022/8/1 09:30,09:30:00,14959.82128
2022/8/1 10:00,10:00:00,15000.80064
2022/8/1 10:30,10:30:00,15013.79457
2022/8/1 11:00,11:00:00,14994.65618
2022/8/1 11:30,11:30:00,14994.75086
2022/8/1 12:00,12:00:00,14984.89596
2022/8/1 12:30,12:30:00,14981.94981
2022/8/1 13:00,13:00:00,14991.07841
2022/8/1 13:30,13:30:00,14985.72212
2022/8/2 09:00,09:00:00,14985.81872
2022/8/2 09:30,09:30:00,14787.2966
2022/8/2 10:00,10:00:00,14729.34175
2022/8/2 10:30,10:30:00,14743.03423
2022/8/2 11:00,11:00:00,14770.59011
2022/8/2 11:30,11:30:00,14754.78217
2022/8/2 12:00,12:00:00,14741.34401
2022/8/2 12:30,12:30:00,14724.12808
2022/8/2 13:00,13:00:00,14740.93953
2022/8/2 13:30,13:30:00,14766.66518
2022/8/3 09:00,09:00:00,14766.78145
2022/8/3 09:30,09:30:00,14783.60315
2022/8/3 10:00,10:00:00,14745.85409
2022/8/3 10:30,10:30:00,14778.87234
2022/8/3 11:00,11:00:00,14768.55092
2022/8/3 11:30,11:30:00,14777.72429
2022/8/3 12:00,12:00:00,14767.31582
2022/8/3 12:30,12:30:00,14754.39312
2022/8/3 13:00,13:00:00,14743.35267
2022/8/3 13:30,13:30:00,14752.859
2022/8/4 09:00,09:00:00,14753.10889
2022/8/4 09:30,09:30:00,14767.16003
2022/8/4 10:00,10:00:00,14760.15925
2022/8/4 10:30,10:30:00,14745.60643
2022/8/4 11:00,11:00:00,14744.90568
2022/8/4 11:30,11:30:00,14699.10905
2022/8/4 12:00,12:00:00,14630.26911
2022/8/4 12:30,12:30:00,14673.06864
2022/8/4 13:00,13:00:00,14721.20231
2022/8/4 13:30,13:30:00,14753.95457
2022/8/5 09:00,09:00:00,14753.94304
2022/8/5 09:30,09:30:00,14960.70967
2022/8/5 10:00,10:00:00,15004.78816
2022/8/5 10:30,10:30:00,15007.11365
2022/8/5 11:00,11:00:00,15028.17724
2022/8/5 11:30,11:30:00,15028.17936
2022/8/5 12:00,12:00:00,15044.25357
2022/8/5 12:30,12:30:00,15046.08382
2022/8/5 13:00,13:00:00,15064.78891
2022/8/5 13:30,13:30:00,15071.96591
2022/8/8 09:00,09:00:00,15071.9707
2022/8/8 09:30,09:30:00,14988.2046
2022/8/8 10:00,10:00:00,15012.80011
2022/8/8 10:30,10:30:00,15026.3537
2022/8/8 11:00,11:00:00,15039.35348
2022/8/8 11:30,11:30:00,15032.37705
2022/8/8 12:00,12:00:00,15047.21501
2022/8/8 12:30,12:30:00,15029.68632
2022/8/8 13:00,13:00:00,15038.94123
2022/8/8 13:30,13:30:00,15059.07972
2022/8/9 09:00,09:00:00,15059.08677
2022/8/9 09:30,09:30:00,14994.38123
2022/8/9 10:00,10:00:00,14972.17446
2022/8/9 10:30,10:30:00,14993.77033
2022/8/9 11:00,11:00:00,15008.20058
2022/8/9 11:30,11:30:00,15059.78827
2022/8/9 12:00,12:00:00,15103.13724
2022/8/9 12:30,12:30:00,15095.1207
2022/8/9 13:00,13:00:00,15091.05426
2022/8/9 13:30,13:30:00,15083.91443
2022/8/10 09:00,09:00:00,15083.91911
2022/8/10 09:30,09:30:00,14980.43075
2022/8/10 10:00,10:00:00,15000.74499
2022/8/10 10:30,10:30:00,15000.47376
2022/8/10 11:00,11:00:00,14989.87368
2022/8/10 11:30,11:30:00,14993.27487
2022/8/10 12:00,12:00:00,15009.03721
2022/8/10 12:30,12:30:00,15007.2839
2022/8/10 13:00,13:00:00,14991.70844
2022/8/10 13:30,13:30:00,14986.89783
