datetime,time,
2022/2/7 09:00,09:00:00,17674.4
2022/2/7 09:30,09:30:00,17863.43446
2022/2/7 10:00,10:00:00,17847.51969
2022/2/7 10:30,10:30:00,17818.5385
2022/2/7 11:00,11:00:00,17793.27724
2022/2/7 11:30,11:30:00,17803.86847
2022/2/7 12:00,12:00:00,17841.62292
2022/2/7 12:30,12:30:00,17881.87351
2022/2/7 13:00,13:00:00,17914.7676
2022/2/7 13:30,13:30:00,17931.3937
2022/2/8 09:00,09:00:00,17931.46978
2022/2/8 09:30,09:30:00,18056.7246
2022/2/8 10:00,10:00:00,18061.04928
2022/2/8 10:30,10:30:00,18071.40507
2022/2/8 11:00,11:00:00,18078.77543
2022/2/8 11:30,11:30:00,18079.76724
2022/2/8 12:00,12:00:00,18067.95627
2022/2/8 12:30,12:30:00,18079.02209
2022/2/8 13:00,13:00:00,18080.84334
2022/2/8 13:30,13:30:00,18094.2817
2022/2/9 09:00,09:00:00,18094.03479
2022/2/9 09:30,09:30:00,18129.29462
2022/2/9 10:00,10:00:00,18118.9983
2022/2/9 10:30,10:30:00,18112.23362
2022/2/9 11:00,11:00:00,18115.05357
2022/2/9 11:30,11:30:00,18133.05181
2022/2/9 12:00,12:00:00,18134.04766
2022/2/9 12:30,12:30:00,18137.08298
2022/2/9 13:00,13:00:00,18148.84206
2022/2/9 13:30,13:30:00,18196.65616
