datetime,time,
2021/12/30 09:00,09:00:00,18248.28
2021/12/30 09:30,09:30:00,18317.57769
2021/12/30 10:00,10:00:00,18318.87081
2021/12/30 10:30,10:30:00,18311.00766
2021/12/30 11:00,11:00:00,18293.54671
2021/12/30 11:30,11:30:00,18279.96735
2021/12/30 12:00,12:00:00,18282.57538
2021/12/30 12:30,12:30:00,18285.26493
2021/12/30 13:00,13:00:00,18284.85443
2021/12/30 13:30,13:30:00,18285.18833
2022/1/3 09:00,09:00:00,18285.17212
2022/1/3 09:30,09:30:00,18394.24652
2022/1/3 10:00,10:00:00,18340.48284
2022/1/3 10:30,10:30:00,18333.90591
2022/1/3 11:00,11:00:00,18327.17462
2022/1/3 11:30,11:30:00,18313.05861
2022/1/3 12:00,12:00:00,18300.96861
2022/1/3 12:30,12:30:00,18302.51763
2022/1/3 13:00,13:00:00,18303.1476
2022/1/3 13:30,13:30:00,18318.891
2022/1/4 09:00,09:00:00,18318.90992
2022/1/4 09:30,09:30:00,18508.21618
2022/1/4 10:00,10:00:00,18523.58811
2022/1/4 10:30,10:30:00,18484.73969
2022/1/4 11:00,11:00:00,18498.91886
2022/1/4 11:30,11:30:00,18495.66847
2022/1/4 12:00,12:00:00,18516.57318
2022/1/4 12:30,12:30:00,18517.96864
2022/1/4 13:00,13:00:00,18526.52635
2022/1/4 13:30,13:30:00,18538.51546
2022/1/5 09:00,09:00:00,18538.68237
2022/1/5 09:30,09:30:00,18626.33983
2022/1/5 10:00,10:00:00,18578.87234
2022/1/5 10:30,10:30:00,18595.14031
2022/1/5 11:00,11:00:00,18569.9063
2022/1/5 11:30,11:30:00,18537.44482
2022/1/5 12:00,12:00:00,18529.65192
2022/1/5 12:30,12:30:00,18540.2263
2022/1/5 13:00,13:00:00,18524.02162
2022/1/5 13:30,13:30:00,18517.56103
