datetime,time,
2021/10/21 09:00,09:00:00,16887.82 
2021/10/21 09:30,09:30:00,16974.08 
2021/10/21 10:00,10:00:00,17023.04 
2021/10/21 10:30,10:30:00,17057.53 
2021/10/21 11:00,11:00:00,17038.71 
2021/10/21 11:30,11:30:00,17011.73 
2021/10/21 12:00,12:00:00,16988.83 
2021/10/21 12:30,12:30:00,16966.19 
2021/10/21 13:00,13:00:00,16945.29 
2021/10/21 13:30,13:30:00,16935.46 
2021/10/22 09:00,09:00:00,16935.44 
2021/10/22 09:30,09:30:00,16939.07 
2021/10/22 10:00,10:00:00,16901.44 
2021/10/22 10:30,10:30:00,16874.50 
2021/10/22 11:00,11:00:00,16878.06 
2021/10/22 11:30,11:30:00,16915.77 
2021/10/22 12:00,12:00:00,16928.51 
2021/10/22 12:30,12:30:00,16923.77 
2021/10/22 13:00,13:00:00,16935.48 
2021/10/22 13:30,13:30:00,16938.87 
2021/10/25 09:00,09:00:00,16938.86 
2021/10/25 09:30,09:30:00,16894.72 
2021/10/25 10:00,10:00:00,16868.46 
2021/10/25 10:30,10:30:00,16862.01 
2021/10/25 11:00,11:00:00,16918.41 
2021/10/25 11:30,11:30:00,16950.73 
2021/10/25 12:00,12:00:00,16958.14 
2021/10/25 12:30,12:30:00,16955.34 
2021/10/25 13:00,13:00:00,16955.01 
2021/10/25 13:30,13:30:00,16942.74 
2021/10/26 09:00,09:00:00,16942.71 
2021/10/26 09:30,09:30:00,17034.93 
2021/10/26 10:00,10:00:00,17043.71 
2021/10/26 10:30,10:30:00,17036.93 
2021/10/26 11:00,11:00:00,17066.32 
2021/10/26 11:30,11:30:00,17095.15 
2021/10/26 12:00,12:00:00,17093.77 
2021/10/26 12:30,12:30:00,17088.53 
2021/10/26 13:00,13:00:00,17086.21 
2021/10/26 13:30,13:30:00,17059.14 
2021/10/27 09:00,09:00:00,17059.17 
2021/10/27 09:30,09:30:00,17073.82 
2021/10/27 10:00,10:00:00,17076.75 
2021/10/27 10:30,10:30:00,17066.05 
2021/10/27 11:00,11:00:00,17038.39 
2021/10/27 11:30,11:30:00,17037.00 
2021/10/27 12:00,12:00:00,17046.78 
2021/10/27 12:30,12:30:00,17056.74 
2021/10/27 13:00,13:00:00,17080.51 
2021/10/27 13:30,13:30:00,17106.85 
