datetime,time,
2022/3/31 09:00,09:00:00,17740.56
2022/3/31 09:30,09:30:00,17772.61006
2022/3/31 10:00,10:00:00,17761.4427
2022/3/31 10:30,10:30:00,17773.75331
2022/3/31 11:00,11:00:00,17785.73663
2022/3/31 11:30,11:30:00,17778.0763
2022/3/31 12:00,12:00:00,17775.801
2022/3/31 12:30,12:30:00,17771.66992
2022/3/31 13:00,13:00:00,17768.74279
2022/3/31 13:30,13:30:00,17748.7639
2022/4/1 09:00,09:00:00,17748.68574
2022/4/1 09:30,09:30:00,17566.35844
2022/4/1 10:00,10:00:00,17599.69721
2022/4/1 10:30,10:30:00,17608.66649
2022/4/1 11:00,11:00:00,17590.04961
2022/4/1 11:30,11:30:00,17602.9537
2022/4/1 12:00,12:00:00,17604.85513
2022/4/1 12:30,12:30:00,17612.41429
2022/4/1 13:00,13:00:00,17615.09148
2022/4/1 13:30,13:30:00,17621.99287
2022/4/6 09:00,09:00:00,17622.15081
2022/4/6 09:30,09:30:00,17473.64646
2022/4/6 10:00,10:00:00,17480.57955
2022/4/6 10:30,10:30:00,17497.96836
2022/4/6 11:00,11:00:00,17514.77518
2022/4/6 11:30,11:30:00,17517.30448
2022/4/6 12:00,12:00:00,17514.2346
2022/4/6 12:30,12:30:00,17518.15323
2022/4/6 13:00,13:00:00,17538.90379
2022/4/6 13:30,13:30:00,17564.34281
