datetime,time,
2022/6/2 09:00,09:00:00,16675.09
2022/6/2 09:30,09:30:00,16625.61415
2022/6/2 10:00,10:00:00,16632.21961
2022/6/2 10:30,10:30:00,16635.25142
2022/6/2 11:00,11:00:00,16634.7734
2022/6/2 11:30,11:30:00,16636.28791
2022/6/2 12:00,12:00:00,16638.37741
2022/6/2 12:30,12:30:00,16636.59747
2022/6/2 13:00,13:00:00,16647.83919
2022/6/2 13:30,13:30:00,16616.41228
2022/6/6 09:00,09:00:00,16616.32591
2022/6/6 09:30,09:30:00,16608.87209
2022/6/6 10:00,10:00:00,16583.22944
2022/6/6 10:30,10:30:00,16617.72203
2022/6/6 11:00,11:00:00,16647.57092
2022/6/6 11:30,11:30:00,16653.54563
2022/6/6 12:00,12:00:00,16682.78075
2022/6/6 12:30,12:30:00,16685.1627
2022/6/6 13:00,13:00:00,16672.62331
2022/6/6 13:30,13:30:00,16660.03978
2022/6/7 09:00,09:00:00,16660.02674
2022/6/7 09:30,09:30:00,16569.91682
2022/6/7 10:00,10:00:00,16533.15635
2022/6/7 10:30,10:30:00,16544.00279
2022/6/7 11:00,11:00:00,16555.22766
2022/6/7 11:30,11:30:00,16559.32095
2022/6/7 12:00,12:00:00,16572.75905
2022/6/7 12:30,12:30:00,16568.24006
2022/6/7 13:00,13:00:00,16568.33875
2022/6/7 13:30,13:30:00,16579.56376
2022/6/8 09:00,09:00:00,16579.46226
2022/6/8 09:30,09:30:00,16693.75721
2022/6/8 10:00,10:00:00,16713.22786
2022/6/8 10:30,10:30:00,16735.45886
2022/6/8 11:00,11:00:00,16727.15992
2022/6/8 11:30,11:30:00,16709.8307
2022/6/8 12:00,12:00:00,16707.85657
2022/6/8 12:30,12:30:00,16707.00875
2022/6/8 13:00,13:00:00,16691.83705
2022/6/8 13:30,13:30:00,16707.22822
