,datetime,o,h,l,c,time,date
0,2019-01-02 09:00:00,9725.27,9737.68,9633.49,9633.49,09:00:00,2019-01-02
1,2019-01-02 10:00:00,9636.77,9651.7,9597.56,9607.34,10:00:00,2019-01-02
2,2019-01-02 11:00:00,9607.34,9610.55,9573.28,9584.88,11:00:00,2019-01-02
3,2019-01-02 12:00:00,9589.57,9591.12,9559.61,9572.35,12:00:00,2019-01-02
4,2019-01-02 13:00:00,9569.04,9569.04,9542.52,9554.14,13:00:00,2019-01-02
24,2019-01-03 09:00:00,9494.25,9546.93,9474.47,9545.35,09:00:00,2019-01-03
25,2019-01-03 10:00:00,9545.64,9554.53,9509.7,9513.3,10:00:00,2019-01-03
26,2019-01-03 11:00:00,9513.36,9515.36,9486.57,9487.74,11:00:00,2019-01-03
27,2019-01-03 12:00:00,9488.07,9498.84,9478.41,9491.6,12:00:00,2019-01-03
28,2019-01-03 13:00:00,9492.32,9501.43,9476.98,9492.42,13:00:00,2019-01-03
48,2019-01-04 09:00:00,9427.24,9427.24,9319.28,9375.23,09:00:00,2019-01-04
49,2019-01-04 10:00:00,9375.66,9380.26,9341.63,9378.07,10:00:00,2019-01-04
50,2019-01-04 11:00:00,9380.94,9402.38,9371.68,9387.88,11:00:00,2019-01-04
51,2019-01-04 12:00:00,9389.4,9389.4,9352.49,9374.87,12:00:00,2019-01-04
52,2019-01-04 13:00:00,9374.56,9382.51,9358.79,9382.51,13:00:00,2019-01-04
120,2019-01-07 09:00:00,9460.2,9539.86,9460.2,9532.94,09:00:00,2019-01-07
121,2019-01-07 10:00:00,9537.52,9585.99,9532.88,9581.93,10:00:00,2019-01-07
122,2019-01-07 11:00:00,9582.55,9582.55,9550.14,9569.81,11:00:00,2019-01-07
123,2019-01-07 12:00:00,9568.73,9596.35,9564.94,9586.76,12:00:00,2019-01-07
124,2019-01-07 13:00:00,9582.14,9590.55,9570.56,9590.3,13:00:00,2019-01-07
144,2019-01-08 09:00:00,9591.56,9600.94,9550.82,9559.58,09:00:00,2019-01-08
145,2019-01-08 10:00:00,9558.26,9584.87,9553.4,9574.0,10:00:00,2019-01-08
146,2019-01-08 11:00:00,9573.89,9580.21,9556.73,9560.96,11:00:00,2019-01-08
147,2019-01-08 12:00:00,9559.85,9580.29,9547.63,9567.68,12:00:00,2019-01-08
148,2019-01-08 13:00:00,9566.47,9573.96,9556.51,9563.6,13:00:00,2019-01-08
168,2019-01-09 09:00:00,9584.63,9701.21,9584.63,9696.93,09:00:00,2019-01-09
169,2019-01-09 10:00:00,9695.95,9732.51,9681.47,9726.36,10:00:00,2019-01-09
170,2019-01-09 11:00:00,9727.64,9737.41,9714.75,9728.09,11:00:00,2019-01-09
171,2019-01-09 12:00:00,9723.63,9738.82,9721.6,9726.35,12:00:00,2019-01-09
172,2019-01-09 13:00:00,9724.96,9741.64,9724.96,9738.31,13:00:00,2019-01-09
192,2019-01-10 09:00:00,9731.11,9731.11,9686.03,9703.46,09:00:00,2019-01-10
193,2019-01-10 10:00:00,9701.47,9716.99,9692.76,9701.56,10:00:00,2019-01-10
194,2019-01-10 11:00:00,9701.74,9710.87,9683.2,9703.44,11:00:00,2019-01-10
195,2019-01-10 12:00:00,9704.07,9712.96,9692.42,9699.71,12:00:00,2019-01-10
196,2019-01-10 13:00:00,9699.1,9720.69,9693.94,9720.69,13:00:00,2019-01-10
216,2019-01-11 09:00:00,9753.63,9788.59,9739.68,9776.54,09:00:00,2019-01-11
217,2019-01-11 10:00:00,9776.85,9796.98,9758.0,9765.55,10:00:00,2019-01-11
218,2019-01-11 11:00:00,9771.47,9772.91,9748.78,9757.03,11:00:00,2019-01-11
219,2019-01-11 12:00:00,9758.5,9765.77,9741.89,9742.42,12:00:00,2019-01-11
220,2019-01-11 13:00:00,9741.57,9759.77,9736.0,9759.4,13:00:00,2019-01-11
288,2019-01-14 09:00:00,9737.67,9762.37,9729.23,9730.7,09:00:00,2019-01-14
289,2019-01-14 10:00:00,9727.96,9733.77,9691.68,9702.21,10:00:00,2019-01-14
290,2019-01-14 11:00:00,9701.47,9705.55,9677.49,9684.17,11:00:00,2019-01-14
291,2019-01-14 12:00:00,9682.79,9698.36,9677.92,9692.77,12:00:00,2019-01-14
292,2019-01-14 13:00:00,9692.55,9708.22,9686.29,9708.22,13:00:00,2019-01-14
960,2019-02-11 09:00:00,10029.84,10065.52,9988.83,10001.67,09:00:00,2019-02-11
961,2019-02-11 10:00:00,10001.31,10036.22,9995.4,10034.8,10:00:00,2019-02-11
962,2019-02-11 11:00:00,10035.49,10037.72,10018.99,10023.27,11:00:00,2019-02-11
963,2019-02-11 12:00:00,10021.76,10031.48,10013.79,10021.66,12:00:00,2019-02-11
964,2019-02-11 13:00:00,10020.33,10028.72,10004.25,10004.25,13:00:00,2019-02-11
984,2019-02-12 09:00:00,10032.08,10067.92,10032.08,10060.95,09:00:00,2019-02-12
985,2019-02-12 10:00:00,10062.91,10075.51,10058.97,10064.99,10:00:00,2019-02-12
986,2019-02-12 11:00:00,10066.05,10086.48,10062.68,10082.46,11:00:00,2019-02-12
987,2019-02-12 12:00:00,10081.8,10096.95,10077.59,10089.59,12:00:00,2019-02-12
988,2019-02-12 13:00:00,10094.95,10100.23,10087.8,10097.74,13:00:00,2019-02-12
1008,2019-02-13 09:00:00,10123.61,10140.98,10085.17,10097.98,09:00:00,2019-02-13
1009,2019-02-13 10:00:00,10097.37,10111.48,10074.34,10077.68,10:00:00,2019-02-13
1010,2019-02-13 11:00:00,10079.25,10101.43,10075.59,10093.43,11:00:00,2019-02-13
1011,2019-02-13 12:00:00,10089.57,10096.83,10080.83,10093.03,12:00:00,2019-02-13
1012,2019-02-13 13:00:00,10092.69,10110.47,10088.05,10090.58,13:00:00,2019-02-13
1032,2019-02-14 09:00:00,10095.99,10135.62,10086.74,10124.22,09:00:00,2019-02-14
1033,2019-02-14 10:00:00,10122.39,10128.68,10105.83,10109.13,10:00:00,2019-02-14
1034,2019-02-14 11:00:00,10109.28,10123.93,10105.77,10117.29,11:00:00,2019-02-14
1035,2019-02-14 12:00:00,10116.68,10123.66,10089.02,10092.19,12:00:00,2019-02-14
1036,2019-02-14 13:00:00,10092.14,10096.33,10082.0,10089.01,13:00:00,2019-02-14
1056,2019-02-15 09:00:00,10111.18,10135.16,10098.14,10120.04,09:00:00,2019-02-15
1057,2019-02-15 10:00:00,10120.18,10121.01,10055.5,10071.56,10:00:00,2019-02-15
1058,2019-02-15 11:00:00,10068.62,10083.93,10065.63,10074.87,11:00:00,2019-02-15
1059,2019-02-15 12:00:00,10080.24,10087.48,10074.76,10078.99,12:00:00,2019-02-15
1060,2019-02-15 13:00:00,10080.65,10087.66,10064.78,10064.78,13:00:00,2019-02-15
1128,2019-02-18 09:00:00,10096.94,10158.89,10096.94,10157.97,09:00:00,2019-02-18
1129,2019-02-18 10:00:00,10158.25,10165.77,10142.71,10148.45,10:00:00,2019-02-18
1130,2019-02-18 11:00:00,10147.97,10159.1,10140.35,10149.51,11:00:00,2019-02-18
1131,2019-02-18 12:00:00,10151.7,10152.0,10138.3,10149.2,12:00:00,2019-02-18
1132,2019-02-18 13:00:00,10149.45,10156.93,10142.88,10145.28,13:00:00,2019-02-18
1152,2019-02-19 09:00:00,10152.11,10173.2,10143.15,10167.02,09:00:00,2019-02-19
1153,2019-02-19 10:00:00,10167.97,10173.47,10158.73,10159.96,10:00:00,2019-02-19
1154,2019-02-19 11:00:00,10160.78,10168.18,10151.78,10161.15,11:00:00,2019-02-19
1155,2019-02-19 12:00:00,10160.73,10169.72,10151.65,10160.5,12:00:00,2019-02-19
1156,2019-02-19 13:00:00,10160.88,10170.43,10148.21,10152.26,13:00:00,2019-02-19
1176,2019-02-20 09:00:00,10181.94,10266.27,10181.94,10258.79,09:00:00,2019-02-20
1177,2019-02-20 10:00:00,10258.37,10261.76,10231.3,10233.79,10:00:00,2019-02-20
1178,2019-02-20 11:00:00,10234.53,10239.58,10221.44,10228.85,11:00:00,2019-02-20
1179,2019-02-20 12:00:00,10224.99,10253.19,10221.28,10251.59,12:00:00,2019-02-20
1180,2019-02-20 13:00:00,10245.79,10272.46,10243.9,10272.46,13:00:00,2019-02-20
1200,2019-02-21 09:00:00,10282.32,10299.69,10256.53,10262.16,09:00:00,2019-02-21
1201,2019-02-21 10:00:00,10264.85,10284.22,10257.84,10283.92,10:00:00,2019-02-21
1202,2019-02-21 11:00:00,10283.42,10296.57,10270.24,10293.43,11:00:00,2019-02-21
1203,2019-02-21 12:00:00,10295.19,10306.17,10289.25,10298.09,12:00:00,2019-02-21
1204,2019-02-21 13:00:00,10298.73,10319.53,10289.35,10319.53,13:00:00,2019-02-21
1224,2019-02-22 09:00:00,10309.02,10309.83,10271.66,10280.47,09:00:00,2019-02-22
1225,2019-02-22 10:00:00,10281.09,10307.11,10269.95,10296.98,10:00:00,2019-02-22
1226,2019-02-22 11:00:00,10295.76,10302.29,10287.01,10297.27,11:00:00,2019-02-22
1227,2019-02-22 12:00:00,10292.07,10306.07,10289.49,10304.68,12:00:00,2019-02-22
1228,2019-02-22 13:00:00,10300.66,10322.92,10297.89,10322.92,13:00:00,2019-02-22
1296,2019-02-25 09:00:00,10343.45,10378.71,10343.45,10362.86,09:00:00,2019-02-25
1297,2019-02-25 10:00:00,10364.26,10374.0,10355.04,10362.33,10:00:00,2019-02-25
1298,2019-02-25 11:00:00,10362.75,10377.98,10356.82,10370.21,11:00:00,2019-02-25
1299,2019-02-25 12:00:00,10372.71,10380.2,10362.78,10375.97,12:00:00,2019-02-25
1300,2019-02-25 13:00:00,10376.15,10390.93,10364.84,10390.93,13:00:00,2019-02-25
1320,2019-02-26 09:00:00,10403.03,10416.91,10380.22,10384.04,09:00:00,2019-02-26
1321,2019-02-26 10:00:00,10384.15,10402.51,10368.86,10376.78,10:00:00,2019-02-26
1322,2019-02-26 11:00:00,10378.45,10389.69,10370.64,10383.93,11:00:00,2019-02-26
1323,2019-02-26 12:00:00,10381.01,10398.95,10371.8,10395.79,12:00:00,2019-02-26
1324,2019-02-26 13:00:00,10393.24,10416.0,10389.89,10391.55,13:00:00,2019-02-26
1704,2019-03-14 09:00:00,10391.3,10407.27,10375.6,10384.64,09:00:00,2019-03-14
1705,2019-03-14 10:00:00,10384.76,10392.54,10368.42,10371.62,10:00:00,2019-03-14
1706,2019-03-14 11:00:00,10370.77,10377.35,10345.77,10347.73,11:00:00,2019-03-14
1707,2019-03-14 12:00:00,10347.84,10356.81,10341.61,10349.84,12:00:00,2019-03-14
1708,2019-03-14 13:00:00,10350.87,10357.55,10339.64,10348.65,13:00:00,2019-03-14
1728,2019-03-15 09:00:00,10374.66,10409.79,10370.0,10407.85,09:00:00,2019-03-15
1729,2019-03-15 10:00:00,10407.19,10429.16,10399.88,10425.22,10:00:00,2019-03-15
1730,2019-03-15 11:00:00,10425.95,10432.61,10411.32,10416.85,11:00:00,2019-03-15
1731,2019-03-15 12:00:00,10412.37,10432.86,10410.0,10416.16,12:00:00,2019-03-15
1732,2019-03-15 13:00:00,10416.39,10439.24,10413.47,10439.24,13:00:00,2019-03-15
2184,2019-04-03 09:00:00,10725.17,10741.56,10691.67,10692.84,09:00:00,2019-04-03
2185,2019-04-03 10:00:00,10698.22,10712.36,10690.23,10702.23,10:00:00,2019-04-03
2186,2019-04-03 11:00:00,10702.43,10717.0,10694.84,10714.4,11:00:00,2019-04-03
2187,2019-04-03 12:00:00,10715.59,10727.57,10710.45,10720.65,12:00:00,2019-04-03
2188,2019-04-03 13:00:00,10722.75,10732.33,10704.38,10704.38,13:00:00,2019-04-03
2304,2019-04-08 09:00:00,10759.96,10802.12,10759.96,10790.52,09:00:00,2019-04-08
2305,2019-04-08 10:00:00,10795.57,10795.96,10776.22,10792.9,10:00:00,2019-04-08
2306,2019-04-08 11:00:00,10791.54,10807.05,10790.08,10798.47,11:00:00,2019-04-08
2307,2019-04-08 12:00:00,10797.65,10806.58,10785.3,10793.17,12:00:00,2019-04-08
2308,2019-04-08 13:00:00,10791.88,10800.57,10782.52,10800.57,13:00:00,2019-04-08
2328,2019-04-09 09:00:00,10805.39,10821.36,10793.77,10807.31,09:00:00,2019-04-09
2329,2019-04-09 10:00:00,10807.51,10830.19,10802.22,10826.15,10:00:00,2019-04-09
2330,2019-04-09 11:00:00,10825.11,10839.68,10820.77,10832.49,11:00:00,2019-04-09
