,datetime,o,h,l,c,time,date
0,2019/1/2 09:00,9725.27,9731.75,9724.78,9730.88,09:00:00,2019/1/2
30,2019/1/2 09:30,9714.62,9719.85,9714.56,9719.21,09:30:00,2019/1/2
60,2019/1/2 10:00,9636.77,9639.6,9632.89,9635.02,10:00:00,2019/1/2
90,2019/1/2 10:30,9618.65,9621.54,9613.37,9621.54,10:30:00,2019/1/2
120,2019/1/2 11:00,9607.34,9608.68,9601.98,9608.68,11:00:00,2019/1/2
150,2019/1/2 11:30,9586.5,9587.66,9582.13,9582.17,11:30:00,2019/1/2
180,2019/1/2 12:00,9589.57,9590.36,9583.78,9590.36,12:00:00,2019/1/2
210,2019/1/2 12:30,9569.85,9578.56,9569.85,9578.23,12:30:00,2019/1/2
240,2019/1/2 13:00,9569.04,9569.04,9564.4,9564.4,13:00:00,2019/1/2
270,2019/1/2 13:30,9554.14,9554.14,9554.14,9554.14,13:30:00,2019/1/2
1440,2019/1/3 09:00,9494.25,9502.79,9494.25,9496.93,09:00:00,2019/1/3
1470,2019/1/3 09:30,9496.04,9502.25,9494.56,9502.25,09:30:00,2019/1/3
1500,2019/1/3 10:00,9545.64,9547.08,9540.97,9543.14,10:00:00,2019/1/3
1530,2019/1/3 10:30,9530.25,9534.88,9529.79,9534.88,10:30:00,2019/1/3
1560,2019/1/3 11:00,9513.36,9515.26,9508.92,9515.26,11:00:00,2019/1/3
1590,2019/1/3 11:30,9503.23,9506.3,9500.69,9504.47,11:30:00,2019/1/3
1620,2019/1/3 12:00,9488.07,9494.32,9486.91,9487.69,12:00:00,2019/1/3
1650,2019/1/3 12:30,9485.64,9487.02,9480.68,9480.91,12:30:00,2019/1/3
1680,2019/1/3 13:00,9492.32,9498.97,9492.15,9495.06,13:00:00,2019/1/3
1710,2019/1/3 13:30,9492.42,9492.42,9492.42,9492.42,13:30:00,2019/1/3
2880,2019/1/4 09:00,9427.24,9427.24,9384.37,9384.37,09:00:00,2019/1/4
2910,2019/1/4 09:30,9328.14,9328.14,9319.28,9322.4,09:30:00,2019/1/4
2940,2019/1/4 10:00,9375.66,9375.95,9373.88,9374.57,10:00:00,2019/1/4
2970,2019/1/4 10:30,9361.76,9364.81,9358.45,9358.7,10:30:00,2019/1/4
3000,2019/1/4 11:00,9380.94,9380.94,9372.58,9373.03,11:00:00,2019/1/4
3030,2019/1/4 11:30,9397.13,9397.15,9394.72,9396.06,11:30:00,2019/1/4
3060,2019/1/4 12:00,9389.4,9389.4,9379.67,9381.17,12:00:00,2019/1/4
3090,2019/1/4 12:30,9376.06,9376.91,9370.8,9376,12:30:00,2019/1/4
3120,2019/1/4 13:00,9374.56,9375.43,9369.57,9369.57,13:00:00,2019/1/4
3150,2019/1/4 13:30,9382.51,9382.51,9382.51,9382.51,13:30:00,2019/1/4
7200,2019/1/7 09:00,9460.2,9521.66,9460.2,9518.96,09:00:00,2019/1/7
7230,2019/1/7 09:30,9522.83,9526.76,9521.78,9523.15,09:30:00,2019/1/7
7260,2019/1/7 10:00,9537.52,9539.76,9533.16,9534.31,10:00:00,2019/1/7
7290,2019/1/7 10:30,9565.47,9573.02,9565.47,9566.97,10:30:00,2019/1/7
7320,2019/1/7 11:00,9582.55,9582.55,9571.87,9572.14,11:00:00,2019/1/7
