,datetime,o,h,l,c,time,date
0,2020-01-30 09:00:00,11933.23,11933.23,11573.76,11628.43,09:00:00,2020-01-30
1,2020-01-30 10:00:00,11628.41,11637.68,11517.63,11531.2,10:00:00,2020-01-30
2,2020-01-30 11:00:00,11531.37,11555.53,11484.2,11489.11,11:00:00,2020-01-30
3,2020-01-30 12:00:00,11489.52,11489.52,11431.98,11436.66,12:00:00,2020-01-30
4,2020-01-30 13:00:00,11441.21,11456.35,11418.22,11421.74,13:00:00,2020-01-30
24,2020-01-31 09:00:00,11494.03,11594.21,11442.33,11442.33,09:00:00,2020-01-31
25,2020-01-31 10:00:00,11441.75,11504.7,11436.95,11503.9,10:00:00,2020-01-31
26,2020-01-31 11:00:00,11504.46,11543.93,11499.11,11543.93,11:00:00,2020-01-31
27,2020-01-31 12:00:00,11538.81,11551.41,11526.66,11535.77,12:00:00,2020-01-31
28,2020-01-31 13:00:00,11533.98,11536.16,11495.1,11495.1,13:00:00,2020-01-31
96,2020-02-03 09:00:00,11365.9,11365.9,11138.03,11319.79,09:00:00,2020-02-03
97,2020-02-03 10:00:00,11324.62,11359.67,11306.24,11313.18,10:00:00,2020-02-03
98,2020-02-03 11:00:00,11312.82,11334.23,11297.59,11332.87,11:00:00,2020-02-03
99,2020-02-03 12:00:00,11333.94,11337.12,11314.92,11330.82,12:00:00,2020-02-03
100,2020-02-03 13:00:00,11331.22,11354.92,11326.22,11354.92,13:00:00,2020-02-03
120,2020-02-04 09:00:00,11399.46,11531.86,11393.03,11527.21,09:00:00,2020-02-04
121,2020-02-04 10:00:00,11526.59,11573.66,11518.7,11562.27,10:00:00,2020-02-04
122,2020-02-04 11:00:00,11562.07,11574.96,11545.08,11566.42,11:00:00,2020-02-04
123,2020-02-04 12:00:00,11571.43,11581.36,11561.33,11567.89,12:00:00,2020-02-04
124,2020-02-04 13:00:00,11567.87,11575.36,11555.92,11555.92,13:00:00,2020-02-04
144,2020-02-05 09:00:00,11601.55,11619.94,11512.71,11588.73,09:00:00,2020-02-05
145,2020-02-05 10:00:00,11588.27,11620.42,11583.2,11599.98,10:00:00,2020-02-05
146,2020-02-05 11:00:00,11600.19,11618.05,11591.77,11608.71,11:00:00,2020-02-05
147,2020-02-05 12:00:00,11607.73,11614.29,11569.34,11570.07,12:00:00,2020-02-05
148,2020-02-05 13:00:00,11572.02,11573.62,11548.77,11573.62,13:00:00,2020-02-05
168,2020-02-06 09:00:00,11605.11,11707.52,11605.11,11670.1,09:00:00,2020-02-06
169,2020-02-06 10:00:00,11668.92,11699.22,11662.77,11683.4,10:00:00,2020-02-06
170,2020-02-06 11:00:00,11678.81,11704.21,11677.84,11702.23,11:00:00,2020-02-06
171,2020-02-06 12:00:00,11702.25,11732.98,11695.67,11725.28,12:00:00,2020-02-06
172,2020-02-06 13:00:00,11725.09,11749.68,11725.04,11749.68,13:00:00,2020-02-06
192,2020-02-07 09:00:00,11712.71,11712.71,11617.95,11644.7,09:00:00,2020-02-07
193,2020-02-07 10:00:00,11648.0,11652.12,11630.82,11630.82,10:00:00,2020-02-07
194,2020-02-07 11:00:00,11631.71,11647.05,11629.15,11639.28,11:00:00,2020-02-07
195,2020-02-07 12:00:00,11638.11,11643.13,11607.61,11611.67,12:00:00,2020-02-07
196,2020-02-07 13:00:00,11608.64,11612.81,11592.09,11612.81,13:00:00,2020-02-07
264,2020-02-10 09:00:00,11514.72,11553.72,11423.34,11537.42,09:00:00,2020-02-10
265,2020-02-10 10:00:00,11540.99,11598.03,11526.85,11579.85,10:00:00,2020-02-10
266,2020-02-10 11:00:00,11575.38,11582.84,11557.6,11567.29,11:00:00,2020-02-10
267,2020-02-10 12:00:00,11566.28,11570.9,11541.1,11545.94,12:00:00,2020-02-10
268,2020-02-10 13:00:00,11543.45,11574.07,11533.87,11574.07,13:00:00,2020-02-10
288,2020-02-11 09:00:00,11614.25,11658.95,11614.25,11651.29,09:00:00,2020-02-11
289,2020-02-11 10:00:00,11655.54,11673.61,11648.79,11662.31,10:00:00,2020-02-11
290,2020-02-11 11:00:00,11666.1,11673.5,11658.91,11667.82,11:00:00,2020-02-11
291,2020-02-11 12:00:00,11667.72,11673.8,11658.81,11672.17,12:00:00,2020-02-11
292,2020-02-11 13:00:00,11674.22,11678.58,11664.04,11664.04,13:00:00,2020-02-11
312,2020-02-12 09:00:00,11693.4,11751.68,11693.4,11744.79,09:00:00,2020-02-12
313,2020-02-12 10:00:00,11745.03,11769.15,11741.36,11758.77,10:00:00,2020-02-12
314,2020-02-12 11:00:00,11757.96,11771.2,11753.24,11770.38,11:00:00,2020-02-12
315,2020-02-12 12:00:00,11768.59,11785.73,11765.3,11777.82,12:00:00,2020-02-12
316,2020-02-12 13:00:00,11777.06,11801.52,11774.19,11774.19,13:00:00,2020-02-12
336,2020-02-13 09:00:00,11813.5,11854.98,11801.27,11830.76,09:00:00,2020-02-13
337,2020-02-13 10:00:00,11830.63,11831.77,11813.01,11827.81,10:00:00,2020-02-13
338,2020-02-13 11:00:00,11823.38,11834.45,11813.27,11813.95,11:00:00,2020-02-13
339,2020-02-13 12:00:00,11818.41,11818.41,11790.31,11797.87,12:00:00,2020-02-13
340,2020-02-13 13:00:00,11799.66,11799.66,11784.94,11791.78,13:00:00,2020-02-13
360,2020-02-14 09:00:00,11806.52,11825.64,11788.87,11820.17,09:00:00,2020-02-14
361,2020-02-14 10:00:00,11820.58,11832.96,11811.32,11829.98,10:00:00,2020-02-14
362,2020-02-14 11:00:00,11825.71,11840.79,11816.62,11818.58,11:00:00,2020-02-14
363,2020-02-14 12:00:00,11818.52,11822.47,11805.0,11810.45,12:00:00,2020-02-14
364,2020-02-14 13:00:00,11811.28,11815.86,11802.32,11815.7,13:00:00,2020-02-14
432,2020-02-17 09:00:00,11770.3,11775.56,11724.82,11768.86,09:00:00,2020-02-17
433,2020-02-17 10:00:00,11768.95,11769.68,11750.84,11765.31,10:00:00,2020-02-17
