,datetime,o,h,l,c,time,date
0,2020/1/30 09:00,11933.23,11933.23,11710.17,11710.17,09:00:00,2020/1/30
30,2020/1/30 09:30,11656.22,11656.69,11652.16,11655.02,09:30:00,2020/1/30
60,2020/1/30 10:00,11628.41,11637.43,11628.41,11637.43,10:00:00,2020/1/30
90,2020/1/30 10:30,11550.86,11550.86,11542.95,11542.95,10:30:00,2020/1/30
120,2020/1/30 11:00,11531.37,11533.06,11530.4,11531.63,11:00:00,2020/1/30
150,2020/1/30 11:30,11539.18,11539.18,11533.25,11538.16,11:30:00,2020/1/30
180,2020/1/30 12:00,11489.52,11489.52,11484.2,11484.2,12:00:00,2020/1/30
210,2020/1/30 12:30,11455.2,11457.48,11451.08,11457.14,12:30:00,2020/1/30
240,2020/1/30 13:00,11441.21,11448.51,11441.21,11446.55,13:00:00,2020/1/30
270,2020/1/30 13:30,11421.74,11421.74,11421.74,11421.74,13:30:00,2020/1/30
1440,2020/1/31 09:00,11494.03,11510.54,11494.03,11508.95,09:00:00,2020/1/31
1470,2020/1/31 09:30,11550.16,11550.42,11545.56,11549.65,09:30:00,2020/1/31
1500,2020/1/31 10:00,11441.75,11442.09,11436.95,11438.32,10:00:00,2020/1/31
1530,2020/1/31 10:30,11496.62,11497.91,11490.73,11497.91,10:30:00,2020/1/31
1560,2020/1/31 11:00,11504.46,11505.11,11499.11,11500.91,11:00:00,2020/1/31
1590,2020/1/31 11:30,11524.41,11528.02,11523.67,11524.65,11:30:00,2020/1/31
1620,2020/1/31 12:00,11538.81,11543.85,11538.22,11543.32,12:00:00,2020/1/31
1650,2020/1/31 12:30,11532.5,11537.45,11530.79,11536.11,12:30:00,2020/1/31
1680,2020/1/31 13:00,11533.98,11536.16,11529.34,11535.53,13:00:00,2020/1/31
1710,2020/1/31 13:30,11495.1,11495.1,11495.1,11495.1,13:30:00,2020/1/31
5760,2020/2/3 09:00,11365.9,11365.9,11258.15,11258.37,09:00:00,2020/2/3
5790,2020/2/3 09:30,11166.69,11171.86,11165.66,11167.62,09:30:00,2020/2/3
5820,2020/2/3 10:00,11324.62,11332.31,11324.39,11332.15,10:00:00,2020/2/3
5850,2020/2/3 10:30,11348.3,11348.3,11342.5,11346.18,10:30:00,2020/2/3
5880,2020/2/3 11:00,11312.82,11320.68,11311.09,11320.68,11:00:00,2020/2/3
5910,2020/2/3 11:30,11326.24,11328.49,11323.55,11327.82,11:30:00,2020/2/3
5940,2020/2/3 12:00,11333.94,11334.94,11332.4,11333.53,12:00:00,2020/2/3
5970,2020/2/3 12:30,11323.88,11323.88,11316.96,11316.96,12:30:00,2020/2/3
6000,2020/2/3 13:00,11331.22,11333.51,11327,11327.51,13:00:00,2020/2/3
6030,2020/2/3 13:30,11354.92,11354.92,11354.92,11354.92,13:30:00,2020/2/3
7200,2020/2/4 09:00,11399.46,11424.55,11399.46,11424.55,09:00:00,2020/2/4
7230,2020/2/4 09:30,11453.03,11459.51,11453.03,11455.68,09:30:00,2020/2/4
7260,2020/2/4 10:00,11526.59,11526.65,11522.98,11526.65,10:00:00,2020/2/4
7290,2020/2/4 10:30,11552.21,11553.01,11547.14,11552.78,10:30:00,2020/2/4
7320,2020/2/4 11:00,11562.07,11562.4,11555.22,11558.95,11:00:00,2020/2/4
7350,2020/2/4 11:30,11561.77,11563.02,11558.67,11561.7,11:30:00,2020/2/4
7380,2020/2/4 12:00,11571.43,11571.77,11566.48,11569.94,12:00:00,2020/2/4
7410,2020/2/4 12:30,11579.87,11581.28,11575.48,11580.91,12:30:00,2020/2/4
7440,2020/2/4 13:00,11567.87,11569.43,11563.51,11563.51,13:00:00,2020/2/4
7470,2020/2/4 13:30,11555.92,11555.92,11555.92,11555.92,13:30:00,2020/2/4
8640,2020/2/5 09:00,11601.55,11619.94,11601.55,11617.54,09:00:00,2020/2/5
8670,2020/2/5 09:30,11565.37,11570.54,11565.37,11570.28,09:30:00,2020/2/5
8700,2020/2/5 10:00,11588.27,11594.61,11588.27,11593.03,10:00:00,2020/2/5
8730,2020/2/5 10:30,11608.1,11608.65,11606.75,11607.95,10:30:00,2020/2/5
8760,2020/2/5 11:00,11600.19,11600.34,11594.11,11598.96,11:00:00,2020/2/5
8790,2020/2/5 11:30,11607.9,11609.64,11604.13,11604.13,11:30:00,2020/2/5
8820,2020/2/5 12:00,11607.73,11613.07,11607.65,11613.07,12:00:00,2020/2/5
8850,2020/2/5 12:30,11576.06,11581.39,11575.07,11577.57,12:30:00,2020/2/5
8880,2020/2/5 13:00,11572.02,11572.02,11566.43,11566.43,13:00:00,2020/2/5
8910,2020/2/5 13:30,11573.62,11573.62,11573.62,11573.62,13:30:00,2020/2/5
10080,2020/2/6 09:00,11605.11,11644.68,11605.11,11640.9,09:00:00,2020/2/6
10110,2020/2/6 09:30,11676.38,11676.48,11671.54,11671.54,09:30:00,2020/2/6
10140,2020/2/6 10:00,11668.92,11669.65,11665.17,11669.02,10:00:00,2020/2/6
10170,2020/2/6 10:30,11693.78,11696.35,11688.79,11696.35,10:30:00,2020/2/6
10200,2020/2/6 11:00,11678.81,11682.57,11677.84,11682.29,11:00:00,2020/2/6
10230,2020/2/6 11:30,11691.96,11696.66,11690.18,11690.81,11:30:00,2020/2/6
10260,2020/2/6 12:00,11702.25,11702.96,11696.76,11697.76,12:00:00,2020/2/6
10290,2020/2/6 12:30,11714.23,11722.49,11713.84,11720.3,12:30:00,2020/2/6
10320,2020/2/6 13:00,11725.09,11730.67,11725.04,11729.78,13:00:00,2020/2/6
10350,2020/2/6 13:30,11749.68,11749.68,11749.68,11749.68,13:30:00,2020/2/6
11520,2020/2/7 09:00,11712.71,11712.71,11675.51,11675.51,09:00:00,2020/2/7
11550,2020/2/7 09:30,11646.55,11653.28,11646.08,11651.79,09:30:00,2020/2/7
11580,2020/2/7 10:00,11648,11649.13,11646.29,11646.99,10:00:00,2020/2/7
11610,2020/2/7 10:30,11645.88,11651.32,11645.72,11645.72,10:30:00,2020/2/7
11640,2020/2/7 11:00,11631.71,11636.91,11630.26,11631.94,11:00:00,2020/2/7
11670,2020/2/7 11:30,11640.78,11644.93,11640.78,11644.54,11:30:00,2020/2/7
11700,2020/2/7 12:00,11638.11,11643.13,11636.68,11641.07,12:00:00,2020/2/7
11730,2020/2/7 12:30,11624.43,11627.07,11620.21,11620.9,12:30:00,2020/2/7
11760,2020/2/7 13:00,11608.64,11612.16,11606.94,11607.57,13:00:00,2020/2/7
11790,2020/2/7 13:30,11612.81,11612.81,11612.81,11612.81,13:30:00,2020/2/7
15840,2020/2/10 09:00,11514.72,11514.72,11452.42,11455.57,09:00:00,2020/2/10
15870,2020/2/10 09:30,11491.07,11493.09,11486.58,11491.23,09:30:00,2020/2/10
15900,2020/2/10 10:00,11540.99,11542.07,11535.51,11542.07,10:00:00,2020/2/10
15930,2020/2/10 10:30,11567.35,11568.43,11563.71,11564.72,10:30:00,2020/2/10
15960,2020/2/10 11:00,11575.38,11579.68,11574.3,11575.39,11:00:00,2020/2/10
15990,2020/2/10 11:30,11565.34,11572.02,11565.34,11566.65,11:30:00,2020/2/10
16020,2020/2/10 12:00,11566.28,11567.79,11561.84,11567.79,12:00:00,2020/2/10
16050,2020/2/10 12:30,11563.94,11565.1,11559.33,11564.17,12:30:00,2020/2/10
16080,2020/2/10 13:00,11543.45,11547.64,11541.48,11547.64,13:00:00,2020/2/10
16110,2020/2/10 13:30,11574.07,11574.07,11574.07,11574.07,13:30:00,2020/2/10
17280,2020/2/11 09:00,11614.25,11634.9,11614.25,11634.9,09:00:00,2020/2/11
17310,2020/2/11 09:30,11648.61,11653.18,11648.17,11652.38,09:30:00,2020/2/11
17340,2020/2/11 10:00,11655.54,11655.54,11648.79,11655.41,10:00:00,2020/2/11
17370,2020/2/11 10:30,11653.28,11653.64,11651.89,11652.03,10:30:00,2020/2/11
17400,2020/2/11 11:00,11666.1,11667.99,11666.1,11666.31,11:00:00,2020/2/11
17430,2020/2/11 11:30,11665.58,11670.2,11664.82,11665.27,11:30:00,2020/2/11
17460,2020/2/11 12:00,11667.72,11668.3,11666.59,11668.3,12:00:00,2020/2/11
17490,2020/2/11 12:30,11665.9,11666.8,11661.6,11665.08,12:30:00,2020/2/11
17520,2020/2/11 13:00,11674.22,11674.22,11669.64,11672.47,13:00:00,2020/2/11
17550,2020/2/11 13:30,11664.04,11664.04,11664.04,11664.04,13:30:00,2020/2/11
18720,2020/2/12 09:00,11693.4,11713.97,11693.4,11713.97,09:00:00,2020/2/12
18750,2020/2/12 09:30,11733.49,11733.62,11730.2,11731.95,09:30:00,2020/2/12
18780,2020/2/12 10:00,11745.03,11746.89,11741.8,11746.21,10:00:00,2020/2/12
18810,2020/2/12 10:30,11759.09,11760.03,11754.4,11759.75,10:30:00,2020/2/12
18840,2020/2/12 11:00,11757.96,11760.3,11753.32,11760.3,11:00:00,2020/2/12
18870,2020/2/12 11:30,11766.88,11767.84,11761.9,11766.94,11:30:00,2020/2/12
18900,2020/2/12 12:00,11768.59,11768.96,11765.3,11766.86,12:00:00,2020/2/12
18930,2020/2/12 12:30,11779.31,11780.64,11774.14,11774.92,12:30:00,2020/2/12
18960,2020/2/12 13:00,11777.06,11788.77,11777.06,11788.77,13:00:00,2020/2/12
18990,2020/2/12 13:30,11774.19,11774.19,11774.19,11774.19,13:30:00,2020/2/12
20160,2020/2/13 09:00,11813.5,11828.48,11813.5,11827.93,09:00:00,2020/2/13
20190,2020/2/13 09:30,11836.7,11837.84,11831.54,11831.54,09:30:00,2020/2/13
20220,2020/2/13 10:00,11830.63,11831.77,11826,11830.16,10:00:00,2020/2/13
20250,2020/2/13 10:30,11822.1,11822.93,11818.02,11821.91,10:30:00,2020/2/13
20280,2020/2/13 11:00,11823.38,11828.23,11823.25,11823.74,11:00:00,2020/2/13
20310,2020/2/13 11:30,11826.54,11826.69,11821.7,11822.02,11:30:00,2020/2/13
20340,2020/2/13 12:00,11818.41,11818.41,11812.48,11816.75,12:00:00,2020/2/13
20370,2020/2/13 12:30,11798.58,11803.09,11797.33,11797.33,12:30:00,2020/2/13
20400,2020/2/13 13:00,11799.66,11799.66,11793.47,11797.02,13:00:00,2020/2/13
20430,2020/2/13 13:30,11791.78,11791.78,11791.78,11791.78,13:30:00,2020/2/13
21600,2020/2/14 09:00,11806.52,11806.52,11797.88,11804.92,09:00:00,2020/2/14
21630,2020/2/14 09:30,11803.91,11807.49,11802.2,11806.22,09:30:00,2020/2/14
21660,2020/2/14 10:00,11820.58,11826.26,11820.53,11825.1,10:00:00,2020/2/14
21690,2020/2/14 10:30,11828.13,11828.38,11823,11827.97,10:30:00,2020/2/14
21720,2020/2/14 11:00,11825.71,11832.25,11825.36,11831.75,11:00:00,2020/2/14
21750,2020/2/14 11:30,11830.64,11831.6,11829.34,11831.16,11:30:00,2020/2/14
21780,2020/2/14 12:00,11818.52,11821.06,11815.71,11815.96,12:00:00,2020/2/14
21810,2020/2/14 12:30,11815.16,11815.5,11810.32,11810.32,12:30:00,2020/2/14
21840,2020/2/14 13:00,11811.28,11811.28,11805.4,11806.3,13:00:00,2020/2/14
21870,2020/2/14 13:30,11815.7,11815.7,11815.7,11815.7,13:30:00,2020/2/14
25920,2020/2/17 09:00,11770.3,11770.3,11734.3,11735.37,09:00:00,2020/2/17
25950,2020/2/17 09:30,11752.7,11754.96,11749.63,11751.41,09:30:00,2020/2/17
25980,2020/2/17 10:00,11768.95,11769.68,11764.05,11765.5,10:00:00,2020/2/17
26010,2020/2/17 10:30,11759.7,11760.18,11754.45,11759.29,10:30:00,2020/2/17
26040,2020/2/17 11:00,11766.08,11766.21,11760.53,11761.62,11:00:00,2020/2/17
26070,2020/2/17 11:30,11754.75,11756.43,11750.71,11751.86,11:30:00,2020/2/17
26100,2020/2/17 12:00,11749.26,11750.12,11744.65,11745.83,12:00:00,2020/2/17
26130,2020/2/17 12:30,11744.13,11744.18,11743.03,11743.93,12:30:00,2020/2/17
26160,2020/2/17 13:00,11745.09,11748.79,11742.88,11742.88,13:00:00,2020/2/17
26190,2020/2/17 13:30,11763.51,11763.51,11763.51,11763.51,13:30:00,2020/2/17
27360,2020/2/18 09:00,11700.91,11700.91,11677.46,11677.96,09:00:00,2020/2/18
27390,2020/2/18 09:30,11704.73,11705.15,11699.49,11699.49,09:30:00,2020/2/18
27420,2020/2/18 10:00,11690.11,11695.37,11689.67,11692.13,10:00:00,2020/2/18
